,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl%_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
123,Luccas Claro,br  BRA,DF,Fluminense,30,1991,5.2,1,1,1,0,0,0,3,0.0,3,3,3,0,8,9,29,0
124,Clayton,br  BRA,"FW,MF",Coritiba,23,1999,3.6,3,1,1,1,1,0,3,0.0,3,2,0,2,0,3,5,0
125,Cléber,br  BRA,FW,Ceará,25,1996,10.9,16,10,2,10,4,3,8,37.5,5,7,1,6,2,18,11,0
126,Jean Cléber,br  BRA,MF,Avaí,31,1990,9.6,16,11,10,5,1,9,12,75.0,3,10,3,7,13,29,9,1
127,Cleiton,br  BRA,DF,Flamengo,18,2003,0.0,,0,,,,,,,,,,,0,,,
128,Andrés Colorado,co  COL,MF,São Paulo,23,1998,3.4,10,9,6,3,1,3,5,60.0,2,4,1,3,5,15,9,1
129,Germán Conti,ar  ARG,DF,América (MG),27,1994,18.4,20,13,9,10,1,7,14,50.0,7,34,22,12,28,48,110,0
130,Jonathan Copete,co  COL,FW,Avaí,34,1988,3.1,5,2,0,4,1,2,4,50.0,2,4,0,4,3,8,6,0
131,Bruno Cortez,br  BRA,DF,Avaí,34,1987,27.0,47,25,26,17,4,31,50,62.0,19,36,8,28,12,59,57,1
132,Talles Costa,br  BRA,MF,São Paulo,19,2002,6.1,11,8,3,8,0,6,11,54.5,5,7,0,7,8,19,3,0
133,Lucas Crispim,br  BRA,"DF,MF",Fortaleza,27,1994,13.0,18,13,9,5,4,14,21,66.7,7,12,0,12,15,33,18,0
134,Daniel Cruz,br  BRA,"FW,DF",Botafogo (RJ),20,2001,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0
135,Tomás Cuello,ar  ARG,FW,Atl Paranaense,21,2000,18.0,44,25,21,17,6,16,40,40.0,24,15,2,13,12,56,10,0
136,Víctor Cuesta,ar  ARG,DF,Botafogo (RJ),33,1988,28.5,48,29,32,14,2,31,43,72.1,12,41,27,14,59,107,116,0
