,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
114,Alberto Moreno,"€ 64,038","€ 3,330,000","€ 3,330,000",D,29,Spain,Villarreal
115,Diego Carlos,"€ 63,846","€ 3,320,000","€ 3,320,000",D,28,Brazil,Sevilla
116,Rafinha,"€ 62,500","€ 3,250,000","€ 3,250,000",M,28,Brazil,Real Sociedad
117,Denis Cheryshev,"€ 61,346","€ 3,190,000","€ 3,190,000",F,31,Russia,Valencia
118,Arnaut Danjuma,"€ 60,192","€ 3,130,000","€ 3,130,000",F,25,Netherlands,Villarreal
119,Darío Benedetto,"€ 59,615","€ 3,100,000","€ 3,100,000",F,31,Argentina,Elche
120,Benjamin Lecomte,"€ 59,423","€ 3,090,000","€ 3,090,000",K,30,France,Atletico Madrid
121,Willian José,"€ 57,692","€ 3,000,000","€ 3,000,000",F,30,Brazil,Real Betis
122,Yeremi Pino,"€ 57,692","€ 3,000,000","€ 3,000,000",F,19,Spain,Villarreal
123,Matheus Cunha,"€ 57,692","€ 3,000,000","€ 3,000,000",F,22,Brazil,Atletico Madrid
124,Eric García,"€ 57,692","€ 3,000,000","€ 3,000,000",D,21,Spain,Barcelona
125,Gonzalo Escalante,"€ 56,154","€ 2,920,000","€ 2,920,000",M,28,Argentina,Alaves
126,Boulaye Dia,"€ 56,154","€ 2,920,000","€ 2,920,000",F,25,Senegal,Villarreal
127,Étienne Capoue,"€ 56,154","€ 2,920,000","€ 2,920,000",M,33,France,Villarreal
128,David Silva,"€ 55,769","€ 2,900,000","€ 2,900,000",F,36,Spain,Real Sociedad
129,Hugo Duro,"€ 55,577","€ 2,890,000","€ 2,890,000",F,22,Spain,Valencia
130,Jason,"€ 55,000","€ 2,860,000","€ 2,860,000",F,27,Spain,Valencia
131,Álex Berenguer,"€ 54,808","€ 2,850,000","€ 2,850,000",F,26,Spain,Athletic Club
132,Marcos Acuña,"€ 54,615","€ 2,840,000","€ 2,840,000",D,30,Argentina,Sevilla
133,Dani Ceballos,"€ 54,231","€ 2,820,000","€ 2,820,000",M,25,Spain,Real Madrid
134,Dani García,"€ 53,269","€ 2,770,000","€ 2,770,000",M,31,Spain,Athletic Club
135,Marc Bartra,"€ 51,923","€ 2,700,000","€ 2,700,000",D,31,Spain,Real Betis
136,Raúl de Tomás,"€ 51,731","€ 2,690,000","€ 2,690,000",F,27,Spain,Espanyol
137,Adama Traoré,"€ 51,731","€ 2,690,000","€ 2,690,000",F,26,Spain,Barcelona
138,Guido Rodríguez,"€ 51,538","€ 2,680,000","€ 2,680,000",M,27,Argentina,Real Betis
139,Nemanja Gudelj,"€ 50,769","€ 2,640,000","€ 2,640,000",M,30,Serbia,Sevilla
140,Erik Lamela,"€ 50,577","€ 2,630,000","€ 2,630,000",F,29,Argentina,Sevilla
141,Manu Vallejo,"€ 50,577","€ 2,630,000","€ 2,630,000",F,24,Spain,Valencia
142,Manu Vallejo,"€ 50,577","€ 2,630,000","€ 2,630,000",F,24,Spain,Alaves
143,Iago Aspas,"€ 50,000","€ 2,600,000","€ 2,600,000",F,34,Spain,Celta Vigo
144,Hugo Mallo,"€ 49,808","€ 2,590,000","€ 2,590,000",D,30,Spain,Celta Vigo
145,Yeray Álvarez,"€ 49,231","€ 2,560,000","€ 2,560,000",D,27,Spain,Athletic Club
146,Andriy Lunin,"€ 48,654","€ 2,530,000","€ 2,530,000",K,22,Ukraine,Real Madrid
