,Player,Weekly Gross,Annual Gross,Expiration,Length,Total Gross,Status,Pos. group,Pos.,Age,Country,Club
289,Juan Cruz,"€ 11,923","€ 620,000","Jun 30, 2024",2-yrs,"€ 1,240,000",,D,LB,29,Spain,Osasuna
290,Iñigo Eguaras,"€ 11,923","€ 620,000","Jun 30, 2024",2-yrs,"€ 1,240,000",,M,DM,30,Spain,Almeria
291,Choco Lozano,"€ 11,923","€ 620,000","Jun 30, 2023",1-yr,"€ 620,000",,F,CF,29,Honduras,Cadiz
292,Esteban Saveljich,"€ 11,923","€ 620,000","Jun 30, 2023",1-yr,"€ 620,000",,D,CB,31,Montenegro,Rayo Vallecano
293,Damián Suárez,"€ 11,923","€ 620,000","Jun 30, 2023",1-yr,"€ 620,000",,D,RB,34,Uruguay,Getafe
294,David García,"€ 11,923","€ 620,000","Jun 30, 2026",4-yrs,"€ 2,480,000",,D,CB,28,Spain,Osasuna
295,Aridane Hernández,"€ 11,731","€ 610,000","Jun 30, 2023",1-yr,"€ 610,000",,D,CB,33,Spain,Osasuna
296,Mikel Vesga,"€ 11,538","€ 600,000","Jun 30, 2024",2-yrs,"€ 1,200,000",,M,DM,29,Spain,Athletic Club
297,Johan Mojica,"€ 11,538","€ 600,000","Jun 30, 2024",2-yrs,"€ 1,200,000",,D,LB,29,Colombia,Elche
298,Curro Sánchez,"€ 11,538","€ 600,000","Jun 30, 2024",2-yrs,"€ 1,200,000",,F,RW,26,Spain,Almeria
299,Nico González,"€ 11,538","€ 600,000","Jun 30, 2024",2-yrs,"€ 1,200,000",,M,CM,20,Spain,Barcelona
300,Unai López,"€ 11,346","€ 590,000","Jun 30, 2024",2-yrs,"€ 1,180,000",,M,CM,26,Spain,Rayo Vallecano
301,Julen Agirrezabala,"€ 11,154","€ 580,000","Jun 30, 2025",3-yrs,"€ 1,740,000",,K,GK,21,Spain,Athletic Club
302,Toni Villa,"€ 11,154","€ 580,000","Jun 30, 2023",1-yr,"€ 580,000",,F,LW,27,Spain,Valladolid
