,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
210,Guilherme,br  BRA,MF,Udinese,24,1991,3.8,0,,1,,,0.27,,0.00,,0,0
211,Jonathan de Guzmán,nl  NED,FW,Carpi,27,1987,1.3,1,,1,,,0.78,,0.00,,1,1
212,Norbert Gyömbér,sk  SVK,"DF,MF",Roma,23,1992,1.1,0,,0,,,0.00,,,,0,0
213,Marek Hamšík,sk  SVK,MF,Napoli,28,1987,35.8,6,,29,,,0.81,,0.17,,1,2
214,Samir Handanović,si  SVN,GK,Inter,31,1984,36.0,0,,0,,,0.00,,,,0,0
215,Filip Helander,se  SWE,DF,Hellas Verona,22,1993,20.7,2,,2,,,0.10,,1.00,,0,0
216,Përparim Hetemaj,fi  FIN,MF,Chievo,28,1986,25.1,1,,5,,,0.20,,0.20,,0,0
217,Thomas Heurtaux,fr  FRA,DF,Udinese,27,1988,11.9,0,,0,,,0.00,,,,0,0
218,Gonzalo Higuaín,ar  ARG,FW,Napoli,27,1987,32.9,36,,83,,,2.53,,0.40,,3,3
219,Oscar Hiljemark,se  SWE,MF,Palermo,23,1992,32.1,4,,8,,,0.25,,0.50,,0,0
220,Wesley Hoedt,nl  NED,DF,Lazio,21,1994,22.8,0,,1,,,0.04,,0.00,,0,0
221,Keisuke Honda,jp  JPN,MF,Milan,29,1986,21.4,1,,15,,,0.70,,0.07,,0,0
222,Elseid Hysaj,al  ALB,DF,Napoli,21,1994,36.5,0,,4,,,0.11,,0.00,,0,0
223,Víctor Ibarbo,co  COL,"FW,MF",Roma,25,1990,0.1,0,,0,,,0.00,,,,0,0
224,Mauro Icardi,ar  ARG,FW,Inter,22,1993,28.7,16,,26,,,0.91,,0.58,,1,2
225,Salvador Ichazo,uy  URU,GK,Torino,23,1992,3.0,0,,0,,,0.00,,,,0,0
226,Josip Iličić,si  SVN,MF,Fiorentina,27,1988,21.2,13,,30,,,1.42,,0.20,,7,7
227,Ciro Immobile,it  ITA,FW,Torino,25,1990,11.0,5,,12,,,1.09,,0.25,,2,3
228,Roberto Inglese,it  ITA,FW,Chievo,23,1991,15.4,3,,12,,,0.78,,0.25,,0,0
